,Name,Field of effect,Expiry date,Active ingredient,Location,Stock available,Other comments
0,Similsan,other,2026-03-31,Atropa bella-donna,shelf,9 dose ,for eye dryness
1,NeoCitran,fever reducer & painkiller,2025-01-31,paracetamol,shelf,12 packs,-
2,Mometasonfuroat,anti-inflammatory,2025-07-31,cortisole,shelf,?,clean nose
3,Triderm,other,2025-05-30,Betamethsolum/Clortrimazolum/Gentamicinum,shelf,1 tube,anti-inflamtion
4,Dafalgan,fever reducer & painkiller,2026-06-30,paracetamol,bag,8 tablets,1g
5,Smecta,other,2025-06-30,diosmekit,bag,8 bags,-
6,Opium,painkiller,2024-07-26,morphine,locker,1ml,-
7,Ciproxine,antibiotics,2024-07-31,ciprofloxacine,fridge,0,-
8,Vibramycline,antibiotics,2025-07-31,doxacyline,fridge,not defined,-
9,Aspirin,fever reducer & painkiller,2024-06-30,not defined,box1,40 tablets,Bayer 1g
10,lséjhagéLS,fever reducer & painkiller,2024-06-21,not defined,not defined,not defined,-
11,Aspirin,fever reducer & painkiller,2026-10-15,Acetyl salycilic acid,Box2,40 tablets,-
12,Palinka,fever reducer & painkiller,2024-10-31,EtOH,Bottle,1L,-
13,Palinka,fever reducer & painkiller,2024-09-30,not defined,not defined,not defined,-
